media_id,creation_date,caption,comments_count,like_count,views,shares,comments_downloaded,timestamp
7302478219167517985,2023-11-17,"1517 likes, 12 comments. “2018❤️”",12,1517,19100,3,1,2023-11-17
7303115095758867745,2023-11-19,"1154 likes, 11 comments. “#harrypotter #larp #larping ”harrypotter #larp #larping",11,1154,12100,0,1,2023-11-19
7309887600058289441,2023-12-07,no_caption,102,9135,116400,81,1,2023-12-07
7313924398715538720,2023-12-18,#riflessione ,32,4254,84800,81,1,2023-12-18
7314239084782783777,2023-12-19,Gli amici veri ti fanno i video belli senza che tu glieli chieda. ,6,3175,46100,6,1,2023-12-19
7319498873989352736,2024-01-02,"6300 likes, 50 comments. “#aifilter ”aifilter",50,6300,525900,38,1,2024-01-02
7319965587613011232,2024-01-03,"6378 likes, 85 comments. “A posto grz”",85,6378,240100,38,1,2024-01-03
7320195471664794913,2024-01-04,"8562 likes, 144 comments. “#sinestesia #frescodizona ”sinestesia #frescodizona",144,8562,139400,179,1,2024-01-04
7320991233373981985,2024-01-06,"930 likes, 8 comments. “Mia nonna non crede di avere 93 anni”",8,930,14300,0,1,2024-01-06
7322549711414807840,2024-01-10,"1095 likes, 12 comments. “Ah quindi negli anni 70 ero Blair Waldorf”aifilter",12,1095,36900,1,1,2024-01-10
7322791585006112032,2024-01-11,"897 likes, 2 comments. “#booktok #lultimacosabellasullafacciadellaterra ”booktok #lultimacosabellasullafacciadellaterra",2,897,23200,3,1,2024-01-11
7325405263803075872,2024-01-18,"4154 likes, 11 comments. “My life ”",11,4154,59100,49,1,2024-01-18
7327255652378742048,2024-01-23,"19.2K likes, 122 comments. “#booknook ”booknook",122,19200,238100,599,1,2024-01-23
7329231394243235105,2024-01-28,"2603 likes, 64 comments. “#hennè #lawsonia ”hennè #lawsonia",64,2603,83100,28,1,2024-01-28
7335489526678195488,2024-02-14,"20.5K likes, 72 comments. “#sanvalentino ”sanvalentino",72,20548,238590,219,1,2024-02-14
7338125501657124128,2024-02-21,"20.8K likes, 213 comments. Check out camihawke’s video.",213,20815,276265,818,1,2024-02-21
7342202840703683872,2024-03-03,"761 likes, 5 comments. “#tour ”tour",5,761,27552,3,1,2024-03-03
7346633340302232865,2024-03-15,"1146 likes, 8 comments. “Cheesecake DAILY lipbalm ”",8,1146,46518,7,1,2024-03-15
7349914503175359777,2024-03-24,"2034 likes, 11 comments. “#makeup #teatro #ilsaggiodifineanno ”makeup #teatro #ilsaggiodifineanno",11,2034,77456,13,1,2024-03-24
7363588276567035169,2024-04-30,"93.6K likes, 259 comments. Check out camihawke’s video.",259,93618,1748568,2574,1,2024-04-30
7364400073695857953,2024-05-02,"16K likes, 73 comments. “#makingoff ”makingoff",73,15985,201455,412,1,2024-05-02
